Diatoms,Dinoflagellates,Haptophytes,Cryptophytes,Green_algae,Cyanobacteria
0.018429536633173867,0.008504387683010803,0.03800913768248576,0.029334848661033405,0.025392508560611697,0.03758116761297334
0.04379737147165228,0.00810646219722766,0.04579403501130174,0.036671479569364666,0.031338162201013375,0.036727646396223744
0.05134587209346285,0.007819597139583717,0.061398081741905655,0.04691324897463928,0.03735061953031551,0.038587911842272074
0.05462802453332181,0.0072505723851125775,0.05477714398855623,0.0512885955775654,0.03890866528368401,0.0804939847649078
0.058017202316784346,0.006802624197447371,0.06356549845798361,0.053878685616170596,0.03845162508670782,0.037514629246551676
0.0367661340768691,0.008293861422456444,0.05254400569840156,0.0367905157967539,0.035010777747764364,0.045561361438739525
0.07072785746852331,0.007401723186453116,0.07601847021090863,0.05298041808565589,0.039623874733576356,0.04309580562487369
0.0484687888503391,0.00811488377023456,0.05722005136019131,0.039137052905685595,0.03576734300961017,0.03835058004535102
0.0185175355950303,0.006918413828955167,0.03870345675761459,0.03700381190378849,0.028019075083688002,0.030966038078174208
0.044328382867649105,0.006918022584527006,0.05953068295905288,0.04754634706411401,0.034587186698329275,0.04082547972542099
0.040111522763401235,0.007111017391849564,0.0479445637372454,0.0315868046484852,0.029139298907066676,0.04797804506134128
0.029240468839054203,0.007639367767637462,0.042777350812456004,0.028784685042435715,0.02944908656366462,0.047396027346712756
0.039080984175079846,0.007858154636928197,0.05198538484407794,0.03267551149033516,0.029946365967039177,0.04809068388770469
0.023441141639619835,0.028543678803163372,0.03644178499990248,0.02398711685629854,0.027871943006759197,0.03734565199295989
0.024422761853187643,0.025554432619162556,0.041330003410350924,0.0164073773657579,0.02535631840383328,0.03575381974602387
0.038894729865818885,0.007039665169892198,0.051697775796905696,0.030416372399573902,0.02977087139007073,0.04203282287864107
0.0359116453629349,0.007486033365588438,0.05258708304126597,0.04146391822644317,0.03484531252052372,0.043690796078533045
0.03435460995105696,0.007694081093551658,0.053798859031957524,0.04101519118489561,0.03476698355978039,0.047101449683013503
0.10341825336769839,0.03712503327239444,0.08569936671352023,0.07387518099426339,0.048775483342032896,0.032429200455281616
0.108311328337861,0.03599934110520667,0.0876101815397702,0.07330608528466835,0.04938402166892477,0.02776939302161807
0.09960358138441171,0.0356571659606387,0.08743241095960855,0.07399948803052307,0.05187025934395659,0.028225141143224764
0.06693611043056223,0.009157633692530254,0.08663276489637024,0.056650937658881434,0.04364044913895707,0.046297822926259856
0.05440763941211989,0.00894014754019623,0.05966504490165658,0.04601531297063122,0.04076738494233218,0.04366998237748238
0.07648802069882775,0.01018954151281301,0.0618322526618734,0.055856755018625526,0.05397100159431788,0.05465731434252988
0.05393217328707524,0.009495253203143747,0.052675295449886396,0.052878443259050924,0.05078085002451535,0.06053643286928757
0.08707896606103231,0.020998558340762585,0.060881698049024366,0.06546073331841572,0.04799647210894181,0.060580336828072276
0.06695772066124281,0.009047062393970018,0.05751334055343204,0.05811877676572332,0.0542808264850763,0.05682398017117203
0.03927017477190634,0.007552099210152374,0.05515273604470519,0.03912733684158329,0.03258512419934477,0.04471522651696033
0.0331437086897063,0.00719297096922647,0.05430750918047085,0.04139882771652798,0.03319996444595854,0.043385204703986116
0.07825189436987885,0.022320059854347,0.06506499626598458,0.0769678947937656,0.05435032173155543,0.05166361343488135
0.043266543474727484,0.008766114749277437,0.058742913349569756,0.04683150081677984,0.03854628719108531,0.033909528843910214
0.00805877796516465,0.007373724642930138,0.03008175809705929,0.019774404128028687,0.02088867823424903,0.03432915872675869
0.0309853527554684,0.008135238601833579,0.039563795152214476,0.015632944715096162,0.024436030887919284,0.03657528275889117
0.054515759533347335,0.008604633010089083,0.0599427526343087,0.04267051260712786,0.038251370190347765,0.029300549133828274
0.04554097056274666,0.008348580814700426,0.054454519908980634,0.040770118446010424,0.03591545418409257,0.02623432993611337
0.007484206817010623,0.007498773658776832,0.03305174852164143,0.013520426488017896,0.02039516311920588,0.036940045636525275
0.025178911908009246,0.007746525058939399,0.043066434803941074,0.033692902451948205,0.032465253335835866,0.04068062064383328
0.021568637417151197,0.00853852921767638,0.03764922703529913,0.030860089990618983,0.030452255858387837,0.026781182843536106
0.023632995200832965,0.02777285166198335,0.038294140666314536,0.012475177605375868,0.02180893166906993,0.031752672515671515
0.012987194126348307,0.007901542626244956,0.03791056937702037,0.008008800285993937,0.021686129085155673,0.03881058828068722
0.02191935916573757,0.008324747099806601,0.038818894445767395,0.026686742790800428,0.028105092643966514,0.03726181576982547
0.049087465950061096,0.008294730810747539,0.058772359985158215,0.03969615016626711,0.0355080053584307,0.04043850099125147
0.060460397973334086,0.008695950909984942,0.04831446767844166,0.038678618822110516,0.03861466887878356,0.057340322147199994
0.019611267577174876,0.025836968513348282,0.03572146412080692,0.02022362645041036,0.025323732797128753,0.037519334196330155
0.05942185586184559,0.006854974816416115,0.06088263195914694,0.04067640730207862,0.03654092475324598,0.044788769688217
0.04196385042557019,0.008026141827728955,0.04504474448161163,0.03169312843035688,0.029268137691951135,0.028370581908750782
